month_day,title,body,reflection,language,status,source
01-01,Vigilância,"""Mantemos o que temos graças à vigilância”. Texto Básico, p. 68

Como é que nos mantemos vigilantes na nossa recuperação? Em primeiro lugar, tomamos consciência de que temos uma doença e de que a teremos sempre. Não importa há quanto tempo estamos limpos, não importa quão melhores as nossas vidas se tenham tornado, não importa o quanto já recuperámos espiritualmente, ainda assim continuamos a ser adictos. A nossa doença aguarda pacientemente, pronta para nos montar uma armadilha se lhe dermos essa oportunidade. A vigilância é uma tarefa diária. Esforçamo-nos por estar constantemente em alerta e para, ao mínimo sinal, lidarmos com os problemas. Não quer dizer que tenhamos que viver sempre com um medo irracional de que algo horrível irá acontecer se deixarmos de estar atentos por um só instante; basta-nos tomar as precauções normais. Existem várias atitudes de vigilância: rezar diariamente, ir a reuniões regularmente, e optar por não comprometer princípios espirituais a favor de caminhos mais fáceis. Fazemos o nosso inventário sempre que necessário, partilhamos com os outros sempre que nos pedem, e tratamos cuidadosamente a nossa recuperação. Acima de tudo, mantemo-nos vigilantes! Temos uma libertação diária da nossa adicção enquanto nos mantivermos vigilantes. Praticamos, em cada dia, os princípios de recuperação em tudo o que fazemos, e agradecemos, em cada noite, ao nosso Poder Superior por outro dia limpo.","Vou ser vigilante, fazendo tudo o que for necessário para proteger a minha recuperação.",pt-CV,published,SPH Meditacões.xlsx
01-02,Respira fundo e fala com Deus,"""Por vezes, quando rezamos, acontecem coisas extraordinárias: encontramos os modos, as maneiras e as energias para realizar tarefas que parecem estar muito além das nossas capacidades."" Texto Básico, p. 52

Ultrapassar com sucesso os mais pequenos incómodos e frustrações da vida é por vezes aquilo que de mais difícil temos para aprender em recuperação. Todos os dias deparamo-nos com pequenos inconvenientes. Desde termos de desembaraçar os atacadores dos sapatos dos nossos filhos, até termos de esperar numa fila do supermercado, os nossos dias estão repletos de pequenas dificuldades com as quais temos de lidar de alguma forma. Se não tivermos cuidado, podemos dar por nós a lidar com estas dificuldades de uma forma desastrada, a ranger os dentes enquanto damos a nós próprios uma palestra severa sobre como deveríamos lidar com elas. Estes são exemplos extremos de uma forma errada de lidar com as coisas, mas mesmo que não sejamos tão maus, há com certeza espaço para melhoras. Cada vez que a vida coloca uma pequena dificuldade nos nossos planos diários, podemos simplesmente respirar fundo e falar com o Deus da nossa concepção. Quando sabemos que podemos obter desse Poder a paciência, a tolerância, ou aquilo de que precisamos, damos por nós a lidar melhor com as dificuldades e a sorrir com mais frequência.",Vou respirar fundo e falar com o meu Deus sempre que me sentir frustado.,pt-CV,published,SPH Meditacões.xlsx
01-03,A NOSSA MAIOR NECESSIDADE,"“Acabamos por redefinir as nossas crenças e as nossas concepções, até vermos que aquilo de que necessitamos mais é o conhecimento da vontade de Deus em relação a nós e as forças para a realizar. "" Texto Básico, p. 55

Quando chegámos a NA, tínhamos várias ideias acerca daquilo de que precisávamos. Alguns de nós estipularam como meta o acumular de bens pessoais. Julgávamos que recuperação equivalia a uma imagem exterior de sucesso. Mas recuperação não equivale a sucesso. Hoje, acreditamos que aquilo de que mais necessitamos é orientação e força espiritual. O maior dano que sofremos com a nossa adicção foi o dano causado à nossa espiritualidade. As nossas motivações primárias eram ditadas pela nossa doença: obter, usar e encontrar maneiras de obter mais. Escravizados pela nossa necessidade opressiva de drogas, as nossas vidas perderam o propósito e o sentido. Sentíamo-nos espiritualmente falidos. Mais cedo ou mais tarde, compreendemos que a nossa maior necessidade em recuperação é ""o conhecimento da vontade de Deus em relação a nós, e as forças para realizá-la"". Aqui encontramos a direcção e o propósito que a adicção nos tinha tirado. Na vontade do nosso Deus encontramos a libertação da nossa vontade própria. Agora que não somos guiados unicamente pelas nossas necessidades, estamos livres para viver com os outros de igual para igual. Não há nada de errado com o sucesso exterior. Mas, não importa quão ""bem sucedidos"" possamos ser, sem a ligação espiritual oferecida pelo programa de NA, a nossa maior necessidade em recuperação fica por preencher.",Vou procurar preencher a minha maior necessidade: uma ligação vital e orientadora com o Deus da minha concepção.,pt-CV,published,SPH Meditacões.xlsx
01-04,O AMOR DA IRMANDADE,"""Hoje, seguros no amor da Irmandade, podemos finalmente olhar outro ser humano nos olhos e estar gratos por aquilo que somos. "" Texto Básico, p. 103

Quando andávamos a usar, poucos de nós podiam tolerar olhar alguém nos olhos - tínhamos vergonha de quem éramos. As nossas mentes não estavam ocupadas com nada de bom ou saudável, e nós sabíamos isso. O nosso tempo, dinheiro e energia não eram gastos a construir relações íntimas, a partilhar com outros, ou à procura de melhorar as nossas comunidades. Estávamos encurralados numa espiral de obsessão e de compulsão que rodava apenas numa direcção: descendente. Em recuperação, a nossa viagem ao fundo dessa espiral foi interrompida. Mas o que é que nos levou a dar meia-volta, fazendo-nos regressar cá acima aos espaços abertos deste mundo vasto e livre? Foi o amor da irmandade. Na companhia de outros adictos, sabíamos que não iríamos ser rejeitados. Através do exemplo de outros adictos, foi-nos mostrado como começar a ter um papel positivo na vida que nos rodeia. Quando não tínhamos a certeza para que lado nos havíamos de virar, quando tropeçámos, quando tivemos que reparar um erro que cometemos, sabíamos que os nossos amigos de NA estavam lá para nos encorajar. Aos poucos, temos vindo a aprender a saborear a nossa liberdade. Já não estamos fechados na nossa doença; estamos livres para construir e crescer e partilhar isso com os outros. E quando precisamos de apoio para dar o passo seguinte, ele está lá. A segurança que encontrámos no amor da irmandade tornou possíveis as nossas novas vidas.","Posso olhar qualquer pessoa nos olhos, sem vergonha. Estou grato pelo apoio amantíssimo que tornou isso possível.",pt-CV,published,SPH Meditacões.xlsx
01-05,RECUPERAÇÃO EM CASA,"""Conseguimos apreciar as nossas famílias de uma nova forma e podemos tornar-nos uma fonte de alegria para eles, em vez de um fardo ou um embaraço. "" Texto Básico, p. 115

A nossa recuperação está brilhante, não está? Vamos a uma reunião todos os dias, passamos todas as noites com os nossos amigos da irmandade, e vamos todos os fins-de-semana a uma reunião de serviço. Mas, se as coisas estiverem a desmoronar-se em casa, é porque se calhar não estamos a ser tão brilhantes assim. Achamos que as nossas famílias devem compreender-nos. Afinal de contas, já não estamos a usar drogas. Porque é que eles não reconhecem os nossos progressos? Não percebem como as nossas reuniões são importantes, ou o nosso serviço, ou o nosso envolvimento com a irmandade? As nossas famílias não vão apreciar a mudança que NA está a produzir nas nossas vidas se nós não lhes mostrarmos. Se sairmos à pressa para ir a uma reunião, tal como saíamos quando íamos usar drogas, o que é que mudou? Se continuarmos a ignorar as necessidades e os desejos dos nossos companheiros e dos nossos filhos, não conseguindo aceitar as nossas responsabilidades em casa, não estaremos a ""praticar estes princípios em todas as áreas das nossas vidas."" Devemos viver o programa onde quer que estejamos, em tudo o que façamos. Se queremos que a vida espiritual seja mais do que uma teoria, temos de vivê-la em casa. Quando fazemos isso, as pessoas com quem partilhamos as nossas vidas irão certamente notar a nossa mudança e ficarão gratas por termos encontrado NA.",Vou levar a minha recuperação comigo para casa.,pt-CV,published,SPH Meditacões.xlsx
01-06,"""COMO É QUE ISTO RESULTA?""","""Eu costumava achar que tinha todas as respostas, mas hoje estou contente por não as ter. "" II Texto Básico Text. p. 272

Quais são as duas palavras favoritas da maioria dos adictos? ""Eu sei!"" Infelizmente, muitos de nós chegaram a NA convencidos de que tinham todas as respostas. Sabemos muito daquilo que está errado connosco. Mas por si só, a sabedoria nunca nos ajudou a mantermo-nos limpos por qualquer período de tempo. Os membros que já estão aqui há mais tempo serão os primeiros a admitir que, quanto mais avançam em recuperação, mais têm para aprender. Mas há uma coisa que eles sabem: ao seguirem este simples programa de Doze Passos, têm sido capazes de se manter limpos. Eles já não perguntam ""porquê""; perguntam ""como"". O valor de infinitas especulações dilui-se perante a experiência de adictos que encontraram uma forma de ficarem limpos e de viverem limpos. Isto não significa que não perguntemos ""porquê"" sempre que seja apropriado. Não parámos de pensar, lá porque chegámos a NA! Mas a princípio é uma boa ideia reformularmos as nossas perguntas. Em vez de perguntarmos ""porquê"", perguntamos ""como"". ""Como é que trabalho este passo?"". ""Como é que devo partilhar nas reuniões?"" ""Como é que me mantenho limpo?""","Eu não tenho todas as respostas, mas sei onde encontrar as que são importantes. Hoje, vou perguntar a outro adicto, ""Como é que isto resulta?""",pt-CV,published,SPH Meditacões.xlsx
01-07,"""RECUPERAÇÃO""","""Narcóticos Anónimos oferece a adictos um programa de recuperação que é mais do que apenas uma vida sem drogas. Não só é este modo de vida melhor do que o inferno em que vivíamos, como é também melhor do que alguma vida que alguma vez conhecemos. "" Texto Básico, p. 119

Poucos de nós têm algum interesse em ""recuperar"" aquilo que tinham antes de começar a usar. Muitos de nós sofreram abusos físicos, sexuais e emocionais. Apanharmos uma ""pedra"" e mantermo-nos ""pedrados"" parecia a única forma possível para tapar tais abusos. Outros sofreram de uma forma menos óbvia mas igualmente dolorosa, antes de a adicção os agarrar. Tínhamos falta de direcção e de propósito. Estávamos espiritualmente vazios. Sentíamo-nos isolados, incapazes de sentir empatia pelos outros. Não tínhamos nenhuma das coisas que dão à vida o seu sentido e o seu valor. Usámos drogas numa tentativa inútil de preencher o vazio dentro de nós. A maioria de nós não quererá ""recuperar"" aquilo que tinha antes. A recuperação que encontramos em NA acaba por ser algo diferente: a oportunidade de uma vida nova. Foram-nos dadas ferramentas para limpar a destruição das nossas vidas. Temos sido apoiados num novo caminho que iniciámos corajosamente. E recebemos a dádiva do contacto consciente com um Poder superior a nós mesmos, que nos dá a força interior e a direcção que tão dolorosamente necessitámos no passado. Recuperar? Sim, em todos os sentidos. Estamos a recuperar toda uma vida nova, melhor do que qualquer coisa que alguma vez imaginámos ser possível. Sentimo-nos gratos.","Recuperei algo que nunca tive, e que nunca julguei ser possível: a vida de um adicto em recuperação. Estou agradecido ao meu Poder Superior, mais do que as palavras possam dizer.",pt-CV,published,SPH Meditacões.xlsx
01-08,CRESCER,"""O nosso estado espiritual constitui o alicerce de uma recuperação forte que permite um crescimento sem limites. "" Texto Básico, p. 51
Quando os nossos membros celebram os seus aniversários de recuperação, muitas vezes dizem que ""cresceram"" em NA. Bom, pensamos nós, mas afinal o que é que isso significa? Começamos a questionar se já estaremos crescidos. Examinamos as nossas vidas e, é verdade, todas as armadilhas da vida adulta estão lá: o livro de cheques, a criança, o emprego, as responsabilidades. Mas por dentro sentimo-nos, muitas vezes, como crianças. Grande parte do tempo ainda estamos confusos com a vida. Nem sempre sabemos como agir. Às vezes questionamos se somos realmente adultos ou se somos crianças que, de alguma forma, foram metidas em corpos adultos e às quais foram dadas responsabilidades de adultos. A melhor maneira de medir o crescimento não é pela idade física ou por níveis de responsabilidade. É, sim, através da nossa condição espiritual, a base da nossa recuperação. Se continuarmos a depender de pessoas, de lugares, e de coisas que nos dêem satisfação interior, como uma criança que depende dos pais para tudo, então temos realmente que crescer um bocado. Mas se nos mantivermos seguros nos alicerces da nossa condição espiritual, e considerarmos a sua manutenção como a nossa responsabilidade mais importante, então podemos considerar-nos maduros. Fundadas sobre esses alicerces, as nossas oportunidades de crescimento são ilimitadas.","A minha maturidade mede-se através da responsabilidade que tenho para com a manutenção da minha condição espiritual. Hoje, essa vai ser a minha maior prioridade.",pt-CV,published,SPH Meditacões.xlsx
01-09,RESPONDER AO CARINHO DO NOSSO PADRINHO,"""Os nossos primeiros envolvimentos com outros começam frequentemente com o nosso padrinho. "" Texto Básico, p. 65

O nosso padrinho ou madrinha pode constituir uma abundante fonte de informação sobre recuperação, de sabedoria, e de palavras amigas. Eles têm feito tanto por nós. Dos telefonemas a meio da noite até às horas passadas a ouvir aquilo que escrevemos em recuperação, eles têm acreditado em nós e investido o seu tempo para prová-lo. Mostraram-nos, através de amor e de firmeza, como sermos honestos. A sua compaixão ilimitada em alturas de confusão deu-nos a força para continuar. A sua forma de nos ajudar incitou-nos a procurar as respostas dentro de nós mesmos e, como resultado disso, tornámo-nos indivíduos maduros, responsáveis, e confiantes. Tal como o nosso padrinho ou madrinha nos deu tão generosamente, sem nunca exigir de volta, há coisas que podemos fazer para mostrar a nossa gratidão. Tratamo-los com respeito. Eles não são um caixote feito para nós despejarmos o nosso lixo. Têm as suas horas difíceis, tal como nós, e por vezes precisam do nosso apoio. Eles são humanos, têm sentimentos, e apreciam a nossa preocupação. Talvez gostassem de receber um postal no correio ou um telefonema a expressar o nosso amor. Tudo aquilo que fizermos para retribuir a bondade do nosso padrinho ou madrinha irá enriquecer a nossa recuperação pessoal, sem falar da alegria que lhe daremos.","O meu padrinho ou madrinha tomou conta de mim quando eu era incapaz de cuidar de mim próprio. Hoje, vou fazer qualquer coisa boa por ele ou ela.",pt-CV,published,SPH Meditacões.xlsx
01-10,GRATIDÃO,"""Sinto-me muito grato por ter vindo a acreditar. "" IP n° 21, O solitário

Acreditar num Poder Superior pode fazer toda a diferença quando as coisas se tornam difíceis! Quando as coisas não correm à nossa maneira em recuperação, o nosso padrinho ou madrinha talvez nos sugira que façamos uma lista de gratidão. Quando a fazemos, devemos incluir na lista a nossa fé num Poder superior a nós mesmos. Uma das grandes dádivas que recebemos dos Doze Passos é a nossa crença num Deus da nossa concepção. Os Doze Passos guiam-nos suavemente em direcção a um despertar espiritual. Tal como a nossa adicção progrediu, também a nossa vida espiritual pode desenvolver-se ao trabalharmos o programa de Narcóticos Anónimos. Os passos são o caminho para uma relação com o Deus da nossa concepção. Este Poder Superior dá-nos força quando o nosso caminho se torna difícil. Estamos gratos pela nossa relação cada vez mais profunda com um Poder Superior? Lembramo-nos de agradecer a Deus por cada dia limpo, seja o que for que tenha acontecido nesse dia? Lembramo-nos de que, não importa quão profundo seja o nosso desespero ou quão grande seja a nossa alegria, o Deus da nossa concepção está connosco? A nossa recuperação é uma dádiva, uma dádiva que nós, às vezes, tomamos por garantida. Cada dia que ficamos limpos, podemos reconfortar-nos nos cuidados do nosso Poder Superior.",Estou grato pela minha relação com um Poder Superior que cuida de mim.,pt-CV,published,SPH Meditacões.xlsx
